Paranthropus_aethiopicus	19	7.78408	2.23999	-3.08647
Paranthropus_aethiopicus	20	7.49481	8.27295	2.24615
Paranthropus_aethiopicus	21	7.55498	8.37673	2.12912
Paranthropus_aethiopicus	22	4.69779	5.55972	-0.839747
Paranthropus_aethiopicus	23	5.73143	3.83743	-3.7298
Paranthropus_aethiopicus	24	6.75068	2.409	-1.11766
Paranthropus_aethiopicus	25	7.1817	2.03186	-2.02795
Homo_habilis	1	3.53103	-0.729069	-6.19541
Homo_habilis	2	4.45506	0.332225	-11.0065
Homo_habilis	3	-0.593986	3.17625	-3.48538
Homo_habilis	4	2.82797	1.84692	-4.78343
Homo_habilis	5	3.65346	-0.549896	-6.35182
Homo_habilis	6	3.11118	-0.133152	-5.37344
Homo_habilis	7	5.02297	0.111103	-4.4307
Homo_habilis	8	3.56148	-0.565305	-5.91674
Homo_habilis	9	-0.588139	3.16005	-3.51686
Homo_habilis	10	4.43498	0.329054	-10.9699
Homo_habilis	11	-0.317794	4.43462	-3.793
Homo_habilis	12	4.36155	-0.634415	-5.96587
Homo_habilis	13	2.24855	1.45753	-5.07536
Homo_habilis	14	3.43436	-0.455319	-5.71828
Homo_habilis	15	3.56862	-0.649821	-5.82263
Homo_habilis	16	0.195278	4.75836	3.55046
Homo_habilis	17	1.49278	0.46723	-8.3886
Homo_habilis	18	2.98401	2.86856	-3.3254
Homo_habilis	19	0.185867	4.701	3.61565
Homo_habilis	20	5.30583	0.618315	-10.6462
Homo_habilis	21	4.63588	0.461502	-11.4465
Homo_habilis	22	3.63922	-0.624988	-6.21545
Homo_habilis	23	3.31669	-0.377994	-6.37811
Homo_habilis	24	2.49011	2.41659	-4.99661
Homo_habilis	25	-0.440103	3.21065	-3.57457
Homo_ergaster	1	1.91392	1.66677	-6.13723
Homo_ergaster	2	1.03159	0.815506	-6.35193
Homo_ergaster	3	-1.22642	2.7975	-5.56752
Homo_ergaster	4	4.8983	4.21757	-2.92012
Homo_ergaster	5	1.09962	1.93754	-5.70568
Homo_ergaster	6	3.95596	-1.25566	-3.07226
Homo_ergaster	7	4.86256	0.815466	-4.06631
Homo_ergaster	8	4.0067	0.791139	-5.2995
Homo_ergaster	9	-1.28863	2.85952	-5.37384
Homo_ergaster	10	1.80448	0.989783	-6.52007
Homo_ergaster	11	-1.03214	3.0127	-5.4401
Homo_ergaster	12	2.31701	1.56472	-6.07901
Homo_ergaster	13	4.83138	4.12999	-3.23402
Homo_ergaster	14	3.71611	0.193964	-3.70897
Homo_ergaster	15	2.30879	1.45871	-6.1014
Homo_ergaster	16	1.57789	4.50118	2.71439
Homo_ergaster	17	2.49528	0.768967	-6.13442
Homo_ergaster	18	1.5799	3.14013	-1.92515
Homo_ergaster	19	1.5769	4.50026	2.71592
Homo_ergaster	20	1.3642	2.50238	-5.52749
Homo_ergaster	21	1.09647	1.94767	-5.71116
Homo_ergaster	22	1.07538	1.93405	-5.51051
Homo_ergaster	23	3.98927	0.69411	-5.4646
Homo_ergaster	24	4.95455	4.12955	-2.68433
Homo_ergaster	25	-1.2924	3.1629	-5.2587
Homo_sapiens	1	2.37526	0.0211972	-7.80739
Homo_sapiens	2	0.4877	0.831791	-9.34241
